cLO_pT,cLO_phi,cLO_eta,c_pT,c_phi,c_eta,chad_pT,chad_phi,chad_eta,cbarLO_pT,cbarLO_phi,cbarLO_eta,cbar_pT,cbar_phi,cbar_eta,cbarhad_pT,cbarhad_phi,cbarhad_eta,d1_pT,d1_phi,d1_eta,d1bar_pT,d1bar_phi,d1bar_eta,d2_pT,d2_phi,d2_eta,d2bar_pT,d2bar_phi,d2bar_eta,d3_pT,d3_phi,d3_eta,d3bar_pT,d3bar_phi,d3bar_eta,d4_pT,d4_phi,d4_eta,d4bar_pT,d4bar_phi,d4bar_eta,multiplicity,chad_cone_mult,chad_ptcone,cbarhad_cone_mult,cbarhad_ptcone
1.45538,2.2573,-8.032,1.34849,2.38945,-8.13391,1.99619,2.4822,-8.39833,1.45538,-0.884288,-7.15553,1.44221,-1.02507,-7.11327,1.3701,-1.25573,-7.06953,1.98514,2.40726,-8.33484,1.73346,-1.4259,-6.45208,0.149539,-2.34158,-8.28239,0.44793,1.17119,-7.04072,0.287688,-2.51981,-7.13602,0.142997,0.435318,-7.38199,0.346491,1.7567,-6.55763,0.248989,0.293854,-6.97944,89,2,2.10205,2,1.86664
1.5249,0.600586,-7.70417,1.36706,0.695495,-7.82805,1.35537,0.923577,-8.62044,1.5249,-2.54101,-6.25582,1.46934,-2.48173,-6.22947,1.54237,-2.45368,-6.06076,0.81782,0.48701,-8.97302,0.243048,-2.62597,-7.53471,0.7049,1.43632,-7.31897,1.30359,-2.42171,-5.06402,0.0913415,2.64781,-7.53203,0.678195,1.3099,-7.18282,0.109316,-2.70272,-5.1524,1.19895,-2.39643,-5.05162,67,2,1.04525,1,0.018832
0.715366,2.0364,-4.8171,2.49107,2.44202,-3.47871,2.10754,2.48385,-3.87938,0.715366,-1.10519,-3.34775,1.39749,-2.46685,-3.00489,0.535179,-2.89225,-3.56094,1.14072,1.67841,-3.71322,0.760859,1.63478,-2.66595,1.55302,3.04208,-3.57199,1.00768,-2.05601,-2.07897,0.128167,-3.01527,-3.67562,1.42839,3.02199,-3.55964,0.225699,-1.39777,-2.32348,0.840552,-2.22101,-1.92663,95,2,1.50186,2,0.140456
1.22297,1.8437,4.87953,0.969034,1.18832,4.74736,0.663073,1.76751,4.49883,1.22297,-1.29789,3.69554,2.3296,-0.842841,3.50758,1.70414,-0.670402,3.97963,0.898961,2.21822,3.10176,1.88773,-0.491721,3.40795,0.417961,-0.160423,4.55284,0.368969,-2.67036,4.52885,0.257505,-0.288325,3.60108,0.165845,0.0389447,5.20568,0.236124,-1.97301,3.67205,0.241507,2.93401,4.63583,112,1,0.267614,9,3.51356
1.0782,-0.177829,4.15353,1.59946,0.298974,4.03678,1.8223,0.270584,4.75226,1.0782,2.96376,5.00624,0.954699,2.20318,5.19267,1.08533,2.3609,5.57641,0.940397,-0.113125,4.06028,0.381362,0.976624,5.1261,1.0134,0.625373,5.04024,1.08161,2.71471,5.32629,0.875507,0.721459,5.05463,0.164927,0.0910229,4.76472,0.66876,2.48551,5.06077,0.456373,3.05412,5.54651,107,4,1.47512,8,2.55953
1.79823,-2.9259,-5.85872,1.73949,-2.96971,-6.24614,0.7846,-2.78709,-6.7723,1.79823,0.215697,-6.90143,2.45135,0.42813,-6.73385,0.720104,-0.850174,-7.89644,1.33399,-2.58304,-5.92853,1.15945,-1.12594,-6.64924,0.58759,0.832541,-5.74749,0.506081,1.61781,-7.62814,0.260797,0.896128,-6.2477,0.32774,0.781955,-5.01484,0.38616,1.30647,-7.70497,0.182133,2.32474,-6.91297,95,1,0.278527,0,0
1.46887,1.44438,-3.11469,1.63948,0.49046,-3.08641,0.94742,0.677938,-3.14762,1.46887,-1.69722,-6.35038,2.31373,-1.21179,-5.89163,1.65133,-1.19222,-6.5469,0.562768,-0.77128,-3.31563,1.37256,-0.879853,-6.61242,1.04163,1.24397,-1.86127,0.545051,-2.07717,-5.47091,0.853823,1.06436,-1.79327,0.252757,1.89185,-1.83862,0.475093,-1.77046,-5.37802,0.170479,-3.07704,-5.05172,82,1,0.346134,1,1.37256
1.16093,0.941053,2.74007,1.51567,0.0674041,2.87132,0.981506,0.169941,3.21992,1.16093,-2.20054,4.02613,1.78351,-2.50703,3.46013,1.57862,-2.53683,4.02804,0.589275,-1.4606,3.2419,1.28447,3.04372,3.83889,1.17459,0.69445,2.10247,1.02327,-1.59065,3.34367,0.842805,0.771104,1.83901,0.340438,0.503715,2.54342,0.96759,-1.63986,3.27318,0.0741432,-0.893582,3.8385,91,2,0.260557,0,0
1.16015,-1.92415,-1.81334,0.918178,-2.27916,-1.73665,1.31282,-2.57081,-2.06591,1.16015,1.21745,-4.10565,1.36118,1.35536,-3.83176,1.12815,1.49974,-4.70272,0.612718,-2.29209,-2.70475,1.03685,2.2924,-4.50843,0.743126,-2.79965,-0.671969,0.839991,0.425711,-3.58469,0.54412,-2.44378,-0.543869,0.300458,2.80074,-0.697707,0.117026,1.33291,-4.14676,0.773423,0.306228,-3.38721,76,1,0.612718,3,0.817211
0.983402,0.753267,5.30262,0.958825,1.27475,5.377,0.364156,1.67624,5.76467,0.983402,-2.38833,4.2491,0.828727,-2.41795,4.2977,0.814604,-2.49795,5.21189,0.579396,-0.469135,5.00846,0.653599,-1.37942,4.15669,0.835254,2.29778,3.5614,0.790836,2.94714,4.91405,0.277055,2.74087,3.97422,0.596892,2.09744,3.20218,0.719323,2.77972,4.78065,0.144989,-2.36277,5.021,62,0,0,1,0.144989
