cLO_pT,cLO_phi,cLO_eta,cLO_rap,c_pT,c_phi,c_eta,c_rap,chad_pT,chad_phi,chad_eta,chad_rap,cbarLO_pT,cbarLO_phi,cbarLO_eta,cbarLO_rap,cbar_pT,cbar_phi,cbar_eta,cbar_rap,cbarhad_pT,cbarhad_phi,cbarhad_eta,cbarhad_rap,d1_pT,d1_phi,d1_eta,d1_rap,d1bar_pT,d1bar_phi,d1bar_eta,d1bar_rap,d2_pT,d2_phi,d2_eta,d2_rap,d2bar_pT,d2bar_phi,d2bar_eta,d2bar_rap,multiplicity,chad_cone_mult,chad_ptcone,cbarhad_cone_mult,cbarhad_ptcone
2.81443,-0.738328,-6.13204,-6.00703,5.01753,-1.01608,-5.79106,-5.74826,4.31676,-1.1092,-5.8111,-5.72555,2.81443,2.40326,-5.17465,-5.04965,2.01299,2.37959,-4.15908,-3.9384,1.60863,2.47127,-4.44238,-4.01665,1.5844,-0.584266,-5.59661,-5.59274,1.12896,-2.94588,-3.98919,-3.98161,1.22846,1.69579,-4.12157,-4.04675,3.05083,-1.3725,-5.80697,-5.79404,183,2,4.63523,4,2.14148
1.98506,-1.29932,0.803265,0.662509,2.81718,-0.797532,0.588444,0.525397,2.10499,-0.658675,0.771254,0.599659,1.98506,1.84227,2.06284,1.84594,1.97256,0.696049,2.03164,1.81312,1.51806,0.729812,2.00939,1.57509,0.481926,-2.43026,0.479467,0.461802,1.42368,1.25188,1.39242,1.3882,0.764655,-0.460416,2.03366,1.86639,2.25119,-0.44733,0.642969,0.629761,106,3,2.58567,3,1.09007
4.10208,-2.8983,-0.389917,-0.367241,4.42405,-3.02251,-0.565746,-0.538433,3.33064,-2.95545,-0.785978,-0.700028,4.10208,0.243288,-4.25797,-4.19525,3.65678,0.811621,-4.36936,-4.29163,2.33472,0.898415,-4.30105,-4.05443,1.80582,2.83099,-0.688167,-0.686392,0.564577,-0.588019,-4.07999,-4.05034,2.35532,1.1396,-4.0769,-4.05542,1.94395,-2.49684,-0.731659,-0.712343,226,2,2.21362,4,3.16239
2.15011,0.745322,-7.33752,-7.13924,2.36059,1.55069,-7.13324,-6.96365,1.25916,1.46809,-7.37374,-6.79318,2.15011,-2.39627,-5.16663,-4.96836,3.63711,-2.9865,-5.25936,-5.18082,2.32393,-3.0697,-5.58356,-5.33502,1.36891,1.02275,-6.56313,-6.55796,0.411547,2.32423,-4.25063,-4.19622,2.08925,-2.91612,-5.6422,-5.61503,0.590163,2.99861,-7.47117,-7.20592,90,2,0.199962,3,2.94603
1.24325,0.389459,-3.90615,-3.45754,1.6518,0.594743,-3.77346,-3.4732,0.841644,0.4281,-4.37073,-3.48324,1.24325,-2.75213,-2.8335,-2.38928,0.541846,-2.01873,-3.25242,-2.18411,0.378119,0.234076,-3.93241,-2.32574,1.03189,0.631793,-4.0554,-4.04635,0.199494,-2.60282,-4.40581,-4.20667,0.571566,0.33898,-1.67571,-1.4214,0.268524,-1.82304,-3.26696,-2.5333,67,3,1.46849,3,1.46849
2.665,0.0120533,-1.70404,-1.57644,2.19093,0.458512,-1.78638,-1.60674,0.743402,0.336401,-2.96733,-1.9901,2.665,-3.12954,-3.17616,-3.03911,3.23693,2.93657,-3.05929,-2.96249,1.78522,3.01579,-3.16012,-2.7932,1.05012,1.16404,-2.1613,-2.15277,0.75268,-2.81493,-3.7116,-3.69472,1.15609,2.72718,-2.28373,-2.20185,0.773942,-1.19191,-1.96559,-1.80264,111,1,0.0743583,3,0.702603
1.55833,2.66111,-4.09407,-3.76647,1.79986,2.16635,-4.08793,-3.82442,0.96613,1.89351,-4.98525,-4.2089,1.55833,-0.480484,-6.48939,-6.16153,1.35067,-0.322174,-6.6296,-6.22786,1.16512,-0.143417,-6.41136,-5.77623,0.865824,-3.07908,-4.22304,-4.21022,1.06884,-0.489458,-5.19242,-5.18397,0.396118,1.01257,-7.174,-6.70531,1.11922,1.04913,-4.29681,-4.20796,24,1,0.114132,2,0.103161
1.4707,-0.797754,-2.95233,-2.59861,0.972515,-0.78127,-3.02386,-2.42063,0.830816,-1.09749,-4.04338,-3.14586,1.4707,2.34384,-5.83901,-5.48249,1.00053,2.84175,-6.24149,-5.65254,0.7455,3.09373,-6.14766,-5.15667,1.12515,-0.966901,-3.60401,-3.59639,1.08862,-2.99228,-5.60634,-5.59819,0.386238,0.537085,-4.90935,-4.42523,0.320231,2.51931,-2.9406,-2.33871,28,2,1.15861,1,0.0770233
0.87032,-1.27227,-4.50923,-3.82015,1.78237,-1.49679,-3.86231,-3.59489,1.59814,-1.49457,-3.85915,-3.43008,0.87032,1.86933,-2.66481,-1.9894,0.413362,2.31656,-3.24913,-1.94288,0.261682,2.85122,-4.25621,-2.2927,0.458745,-1.23991,-2.16559,-2.12252,0.788181,-1.57718,-2.02266,-2.00776,0.897375,1.84813,-2.64723,-2.51654,1.15996,-1.59436,-4.12591,-4.04272,143,4,1.46192,1,0.0790101
1.57203,1.37707,-2.66915,-2.34981,1.60213,0.631766,-2.4626,-2.15414,1.52471,0.823877,-2.25326,-1.81188,1.57203,-1.76453,-0.949907,-0.729043,2.88254,-0.863452,-1.02535,-0.935147,3.20527,-0.84085,-1.33391,-1.20944,0.407209,0.225254,-0.483406,-0.459021,1.91549,-1.26072,-1.0351,-1.03305,1.65229,-0.348642,-1.44373,-1.40565,1.21027,1.01463,-2.45166,-2.37592,38,1,1.21027,2,3.56779
0.791424,-1.57653,-1.56024,-0.924266,0.578271,-0.438899,-1.74597,-0.880985,0.391852,-0.415846,-2.69132,-1.20013,0.791424,1.56506,-3.09331,-2.33842,1.13146,1.71117,-2.78787,-2.28727,1.03291,1.56431,-2.73013,-2.01907,0.975902,-1.24915,-1.28383,-1.27516,1.13936,2.35448,-1.94605,-1.93891,0.84183,0.271629,-2.25741,-2.11332,0.769183,1.50582,-1.26239,-1.1192,111,0,0,1,0.0784715
0.442545,0.984232,-8.51774,-7.25534,0.483651,1.36709,-8.4682,-7.28689,0.40301,0.486844,-7.88059,-6.32579,0.442545,-2.15736,-7.04359,-5.78119,0.209479,-1.83809,-7.74559,-5.76734,0.311148,2.96562,-8.56292,-6.75852,0.805349,-0.968526,-5.97621,-5.96141,0.507078,-0.904875,-5.81702,-5.7805,0.767668,2.51007,-7.54933,-7.37628,0.858047,1.68767,-6.77167,-6.62869,13,1,0.0428815,0,0
1.6784,0.447269,-2.50819,-2.21987,1.55802,0.962018,-2.30192,-1.98303,0.883799,0.952929,-2.99698,-2.15986,1.6784,-2.69432,-2.5374,-2.24879,1.75808,-2.86672,-2.80222,-2.53141,1.24356,-3.11147,-2.94264,-2.35966,0.834884,2.16461,-1.77625,-1.76324,0.717046,1.69399,-2.67397,-2.65556,1.37654,-2.5662,-2.26939,-2.21025,0.979534,0.0290324,-2.58079,-2.46906,32,0,0,1,0.0802818
2.5256,2.66173,3.3028,3.15221,2.00895,2.84448,3.77863,3.55738,1.45757,-3.12143,4.15986,3.67545,2.5256,-0.479862,3.85518,3.70427,3.51285,-0.578858,3.65114,3.56752,2.1136,-0.530387,3.86012,3.57258,1.74128,3.08966,3.57203,3.56883,1.20105,-1.1673,3.96701,3.9603,1.35211,0.0261769,3.30698,3.24459,0.306066,-0.402058,4.63187,3.99142,169,2,0.13943,4,1.68169
1.12778,-0.160713,-4.24004,-3.73116,2.00357,-0.438617,-3.73703,-3.51484,0.989998,-0.261203,-3.8716,-3.11576,1.12778,2.98088,-1.61407,-1.16643,0.558625,0.64827,-1.93448,-1.00466,0.619486,0.23993,-2.51392,-1.41392,0.729016,1.24484,-3.49994,-3.48197,0.593796,2.71286,-0.955941,-0.936099,1.14613,-0.0870471,-1.73367,-1.65414,1.19086,-0.918389,-2.98064,-2.90179,75,1,0.919931,1,0.203507
2.32642,2.78921,-1.76875,-1.60648,3.76841,2.66774,-1.42824,-1.36321,1.99962,2.6588,-1.40633,-1.13951,2.32642,-0.352378,1.554,1.39752,2.37636,0.269048,1.36937,1.22509,1.97596,0.246911,1.25841,1.0009,0.572713,-2.16961,-0.732726,-0.714864,1.84346,0.529275,1.20453,1.20215,0.553221,-0.943301,0.670002,0.515071,2.01528,2.37263,-1.28842,-1.26349,114,5,3.43267,3,2.08186
2.1335,1.06394,-3.03585,-2.83615,1.91237,1.36183,-3.01434,-2.77608,0.732714,1.32252,-3.25825,-2.26171,2.1335,-2.07765,-0.983422,-0.838726,2.60564,-2.16325,-1.22855,-1.11066,1.75215,-2.27178,-1.70464,-1.36039,0.660751,-2.81619,-2.40977,-2.3883,1.36777,-2.26837,-0.83425,-0.830719,0.384412,-2.28391,-2.87043,-2.38852,1.22432,0.852072,-2.27044,-2.19682,159,1,0.0610177,2,0.519466
1.66884,-1.12284,-0.683631,-0.524581,1.82081,-0.862459,-0.630274,-0.49842,1.08226,-0.470595,-0.547791,-0.285042,1.66884,2.01875,1.05728,0.839204,1.62722,1.85881,1.05862,0.832552,0.820458,1.66997,0.450389,0.186486,0.209945,1.12471,1.63876,1.47146,0.345063,-2.60439,-1.18483,-1.12279,1.01606,1.35736,0.793518,0.725647,1.10747,-0.661262,-0.903903,-0.840268,130,3,1.29663,6,2.2483
3.91897,-0.929669,-3.80337,-3.73509,4.44761,-1.22838,-3.61202,-3.55824,3.48692,-1.28051,-3.73528,-3.60967,3.91897,2.21192,-4.28284,-4.21451,3.50161,2.4465,-4.27828,-4.19408,1.777,2.70588,-4.53292,-4.16176,0.57176,-1.45984,-4.6376,-4.60866,0.720276,1.79904,-4.90969,-4.89126,1.44881,3.10818,-3.8438,-3.78893,2.9261,-1.24565,-3.39294,-3.37894,132,2,3.19671,2,0.49419
1.04912,-2.64467,6.01847,5.46185,0.643746,-2.53579,6.28751,5.35709,0.463974,-2.91284,7.20956,5.78842,1.04912,0.496926,7.23029,6.67366,1.28262,0.795126,7.10028,6.66932,1.08049,0.626636,7.04108,6.35058,0.727296,-0.701073,5.75634,5.73826,0.227366,1.1995,4.6834,4.52354,0.897918,0.48895,7.20605,7.07399,1.07135,2.79501,5.9162,5.81993,81,0,0,3,1.32975
4.16509,-0.10483,1.51434,1.4593,3.59511,0.598132,1.03594,0.97466,2.10859,0.41635,1.56008,1.30275,4.16509,3.03676,4.13521,4.07427,6.07747,2.8173,3.78599,3.75645,2.81443,2.83604,3.75617,3.57442,1.98998,0.716729,1.22154,1.21948,1.08809,2.87941,4.29575,4.2876,1.72801,2.80875,3.1564,3.11732,0.624365,-0.8153,1.73462,1.51019,196,6,2.42035,9,6.6017
1.44534,2.74855,6.47773,6.11225,1.49075,2.9622,6.37809,6.02841,0.323389,2.33261,7.64641,5.87952,1.44534,-0.393044,6.42907,6.06359,1.46417,-0.626081,6.50676,6.14796,0.701483,-1.43561,7.2586,6.21469,0.729794,-0.418485,5.95318,5.93522,0.556608,-2.91489,5.32509,5.2946,0.85471,-0.729993,6.93914,6.79519,1.03618,2.60403,5.94574,5.84345,113,1,0.219977,3,1.07665
1.46135,-0.184223,0.535833,0.382658,1.61222,-0.353215,0.604486,0.454229,0.96915,0.0136639,1.46413,0.84093,1.46135,2.95737,3.10969,2.75198,1.70946,2.04406,2.97626,2.69277,0.894204,2.17578,3.25666,2.42456,1.08712,0.277217,1.38533,1.37812,0.206979,2.83248,4.51708,4.32973,0.741128,2.00444,1.77141,1.60005,0.294406,-1.83383,-0.178965,-0.0920238,263,5,2.39022,5,2.32324
0.522245,0.170748,2.32618,1.28408,1.05086,-0.959565,1.97123,1.45244,0.650715,-0.123576,2.95833,1.86939,0.522245,-2.97084,4.97055,3.85865,1.00176,2.11727,4.29201,3.70431,0.967322,1.63928,3.99039,3.21611,0.588417,2.0456,2.48985,2.46287,0.923698,0.651451,2.8311,2.81989,0.897307,2.67334,3.71107,3.57903,1.09592,-0.583217,1.64315,1.55801,67,1,0.0229066,1,0.218506
1.47946,1.94152,-3.75954,-3.40658,2.56685,1.63289,-3.31781,-3.17137,2.2054,1.70808,-3.38022,-3.11133,1.47946,-1.20007,-2.35106,-2.00666,1.40955,-1.24384,-2.73449,-2.36058,1.0524,-0.988743,-3.18258,-2.47758,0.218579,-0.724199,-2.16595,-2.00021,1.01326,-1.88646,-2.78989,-2.78056,0.897056,0.0938772,-2.30423,-2.17492,2.37553,1.76805,-3.27666,-3.25558,25,1,2.37553,1,0.106288
1.9427,-0.0874276,4.65844,4.42469,2.20548,-0.240458,4.49819,4.30815,1.51559,-0.243707,4.72432,4.26349,1.9427,3.05417,4.27373,4.04004,1.86049,-2.99056,4.3981,4.1478,1.29933,-2.81108,4.75634,4.1973,1.01924,-0.259272,5.00817,4.99888,1.51315,-2.51212,4.02853,4.0243,0.469179,1.58331,4.9487,4.57609,0.496724,-0.211764,3.60298,3.2602,105,6,2.37709,1,0.399929
2.15589,1.63916,1.76967,1.58566,3.26334,1.85416,1.38085,1.29735,1.89466,1.97097,1.44392,1.15291,2.15589,-1.50244,0.658183,0.551719,1.79681,-1.83595,0.748888,0.594512,0.928121,-2.51947,1.38952,0.762434,0.822398,2.71414,1.86082,1.84731,0.692649,-1.96391,1.72203,1.70338,0.498811,2.94192,-0.256802,-0.183504,1.40408,1.56347,0.780662,0.743239,22,1,0.18334,2,0.779078
3.02502,-0.581324,2.0674,1.96133,2.85588,0.220052,2.21692,2.09832,2.21458,0.30055,2.51842,2.25498,3.02502,2.56027,3.07054,2.96114,5.24084,1.91159,3.02278,2.98361,4.32259,1.92705,3.04583,2.96091,0.751637,1.23631,2.86493,2.84809,1.50274,2.09727,2.4606,2.45636,2.85295,1.8377,3.24658,3.23187,1.86935,-0.0290846,2.04152,2.00896,154,4,2.65398,7,5.90582
