cLO_pT,cLO_phi,cLO_eta,cLO_rap,c_pT,c_phi,c_eta,c_rap,chad_pT,chad_phi,chad_eta,chad_rap,cbarLO_pT,cbarLO_phi,cbarLO_eta,cbarLO_rap,cbar_pT,cbar_phi,cbar_eta,cbar_rap,cbarhad_pT,cbarhad_phi,cbarhad_eta,cbarhad_rap,d1_pT,d1_phi,d1_eta,d1_rap,d1bar_pT,d1bar_phi,d1bar_eta,d1bar_rap,d2_pT,d2_phi,d2_eta,d2_rap,d2bar_pT,d2bar_phi,d2bar_eta,d2bar_rap,multiplicity,chad_cone_mult,chad_ptcone,cbarhad_cone_mult,cbarhad_ptcone
5.79451,2.16936,-2.40124,-2.36936,4.44248,2.07341,-2.71956,-2.66607,3.24848,2.08242,-2.60179,-2.46116,5.79451,-0.972228,-2.27213,-2.2404,3.99334,-0.961338,-2.31593,-2.25129,3.46641,-0.663098,-2.42124,-2.2964,3.19134,2.13545,-2.41388,-2.41294,2.22468,-0.284681,-2.2329,-2.23098,1.62268,-1.19423,-2.42587,-2.38232,0.180025,0.861006,-3.81794,-2.75033,206,7,5.14734,10,9.03729
2.94185,1.45216,1.97261,1.86196,2.87429,1.52606,2.106,1.98952,2.49762,1.4872,2.38914,2.17222,2.94185,-1.68943,2.36626,2.25297,3.10659,-1.86186,2.23844,2.13627,2.38346,-1.74768,2.27516,2.0427,2.59458,1.43774,2.17079,2.16938,2.21374,-1.47836,2.05035,2.04843,0.639694,-2.91779,2.25417,2.02698,0.158909,-2.59389,3.3578,2.18644,90,3,3.64516,1,2.21374
3.35116,2.75204,-3.95875,-3.86751,2.57686,2.5769,-3.89034,-3.74458,1.02069,2.64942,-4.0298,-3.29713,3.35116,-0.38955,-6.45367,-6.36236,3.8251,-0.420339,-6.42577,-6.35425,2.90383,-0.497657,-6.3922,-6.21955,1.1387,2.31906,-3.78527,-3.77782,0.70728,-0.767364,-7.15447,-7.13537,2.23009,-0.413051,-5.91805,-5.89413,0.373661,-1.91134,-2.96995,-2.46951,88,4,3.2292,3,3.09818
2.7714,-0.84401,-2.2414,-2.11619,2.66431,-0.880283,-2.17625,-2.04259,2.21339,-0.826479,-2.1352,-1.87664,2.7714,2.29758,-2.89173,-2.76416,2.60773,2.72771,-3.12429,-2.98201,2.5136,2.75835,-3.47568,-3.25694,2.35096,-0.897103,-1.86069,-1.85901,0.785852,-2.52337,-3.66353,-3.64802,2.19228,2.45165,-3.13958,-3.11494,0.211823,1.41534,-2.86741,-1.95384,136,5,3.08337,6,2.97154
1.90385,-0.606441,-3.15901,-2.91868,1.93321,-0.0691051,-3.10709,-2.87265,1.42144,-0.0461747,-3.83851,-3.33877,1.90385,2.53515,0.145407,0.114369,2.87536,2.16456,-0.156493,-0.138868,2.26844,2.12797,-0.000268584,-0.000207475,0.89837,-1.18423,-3.51951,-3.5076,1.13102,2.92707,0.204573,0.203054,1.68721,1.6268,-0.138016,-0.132495,1.32534,0.616664,-3.29471,-3.22994,89,0,0,2,1.82097
2.84437,0.709153,0.623316,0.558291,2.63995,0.643157,0.656804,0.579951,1.48391,0.532832,0.449635,0.285597,2.84437,-2.43244,1.65774,1.54466,2.87589,-2.51328,1.78202,1.66912,1.48622,-2.32313,2.41403,1.95349,1.71572,0.319199,0.364471,0.363322,1.38278,-2.80908,2.23734,2.23238,0.697514,-1.13975,1.69592,1.5088,0.411694,2.59103,0.122745,0.0787286,80,3,3.53528,2,1.50612
1.99023,2.37455,-4.48571,-4.26088,2.0512,2.79015,-4.35335,-4.13925,1.09884,2.71715,-4.60307,-3.92542,1.99023,-0.767047,-5.29295,-5.06805,1.82358,-1.22527,-5.48443,-5.22605,2.69565,-1.37948,-5.39759,-5.20205,0.526771,-1.13043,-4.06587,-4.03197,1.59555,-1.54249,-4.72421,-4.7204,1.15076,-1.15252,-5.88948,-5.80501,1.53815,2.49309,-3.9384,-3.88942,443,4,0.62068,3,3.05544
1.06445,2.85521,1.33093,0.8945,0.782184,-2.90512,1.77734,1.09551,0.336845,-2.48228,2.19507,0.723477,1.06445,-0.286385,-1.80034,-1.3025,1.63635,-0.364257,-1.24521,-0.999353,1.33741,-0.367496,-2.24642,-1.72734,0.844451,2.34426,0.516207,0.509843,1.37696,-0.93773,-1.70973,-1.70494,0.76441,0.967854,-1.92715,-1.76139,0.872791,-1.19084,1.00929,0.9062,68,2,0.597638,0,0
2.8941,3.00051,2.08379,1.96889,3.57553,-2.43705,2.07857,2.00021,2.88391,-2.41214,2.05092,1.88298,2.8941,-0.141082,3.66793,3.54913,3.41823,-0.422322,3.44681,3.35895,2.32986,-0.58383,3.36459,3.1178,2.48237,-2.25673,2.07818,2.07665,0.867673,-1.27705,3.77241,3.75965,1.75247,-0.261913,2.82997,2.79206,0.577747,-3.13972,1.52475,1.28219,503,16,8.26976,17,5.12355
3.77147,-1.7349,-4.17771,-4.10432,2.67177,-2.14871,-4.08913,-3.95222,1.17973,-2.1059,-5.11269,-4.48657,3.77147,1.4067,-5.38483,-5.3114,3.20842,0.813509,-5.17101,-5.07218,3.6877,1.03722,-5.07412,-4.96027,0.696662,2.83539,-3.95383,-3.93417,3.16431,1.22398,-4.98566,-4.98468,0.82448,0.244001,-5.03309,-4.8799,1.22643,-1.51967,-4.86899,-4.79391,59,1,1.22643,2,3.4644
